Cluster ID,Sample count,Percentage
0,143,1.588359435743641
1,162,1.7994001999333555
2,125,1.3884260801954904
3,144,1.599466844385205
4,153,1.6994335221592802
5,90,0.9996667777407532
6,129,1.432855714761746
7,127,1.4106408974786184
8,25,0.27768521603909807
9,81,0.8997000999666778
10,89,0.9885593690991892
11,152,1.6883261135177166
12,150,1.6661112962345885
13,152,1.6883261135177166
14,77,0.855270465400422
15,76,0.8441630567588583
16,81,0.8997000999666778
17,135,1.4995001666111296
18,126,1.3995334888370543
19,116,1.288459402421415
20,97,1.0774186382317006
21,164,1.8216150172164836
22,105,1.166277907364212
23,164,1.8216150172164836
24,88,0.9774519604576253
25,187,2.0770854159724537
26,150,1.6661112962345885
27,115,1.2773519937798512
28,97,1.0774186382317006
29,75,0.8330556481172943
30,130,1.44396312340331
31,152,1.6883261135177166
32,184,2.0437631900477617
33,100,1.1107408641563923
34,109,1.2107075419304676
35,125,1.3884260801954904
36,69,0.7664111962679107
37,107,1.1884927246473398
38,95,1.0552038209485728
39,149,1.6550038875930244
40,196,2.177052093746529
41,130,1.44396312340331
42,107,1.1884927246473398
43,93,1.0329890036654448
44,140,1.5550372098189493
45,71,0.7886260135510385
46,95,1.0552038209485728
47,163,1.8105076085749194
48,117,1.299566811062979
49,161,1.7882927912917914
50,101,1.1218482727979562
51,150,1.6661112962345885
52,144,1.599466844385205
53,116,1.288459402421415
54,110,1.2218149505720315
55,155,1.721648339442408
56,41,0.4554037543041209
57,152,1.6883261135177166
58,99,1.0996334555148284
59,165,1.8327224258580472
60,46,0.5109407975119404
61,147,1.6327890703098966
62,83,0.9219149172498057
63,71,0.7886260135510385
64,146,1.6216816616683327
65,89,0.9885593690991892
66,120,1.332889036987671
67,59,0.6553371098522714
68,141,1.5661446184605132
69,94,1.0440964123070087
70,108,1.1996001332889037
71,135,1.4995001666111296
72,109,1.2107075419304676
73,56,0.6220148839275798
74,97,1.0774186382317006
75,108,1.1996001332889037
76,93,1.0329890036654448
